# Velocity	Xi_G_fit
0.000000	1.038111
1.000000	1.035871
1.028171	1.035810
1.057136	1.035747
1.086916	1.035682
1.117535	1.035614
1.149018	1.035543
1.181386	1.035469
1.214667	1.035391
1.248886	1.035308
1.284068	1.035221
1.320241	1.035129
1.357434	1.035031
1.395674	1.034928
1.434991	1.034820
1.475416	1.034707
1.516980	1.034588
1.559715	1.034463
1.603654	1.034331
1.648830	1.034193
1.695279	1.034047
1.743037	1.033895
1.792140	1.033734
1.842626	1.033565
1.894535	1.033387
1.947906	1.033200
2.002780	1.033004
2.059200	1.032797
2.117210	1.032580
2.176854	1.032352
2.238178	1.032113
2.301229	1.031861
2.366057	1.031597
2.432711	1.031319
2.501243	1.031028
2.571705	1.030722
2.644153	1.030400
2.718641	1.030063
2.795228	1.029709
2.873972	1.029337
2.954934	1.028947
3.038178	1.028538
3.123766	1.028109
3.211766	1.027660
3.302244	1.027188
3.395271	1.026694
3.490920	1.026175
3.589262	1.025632
3.690375	1.025063
3.794336	1.024466
3.901226	1.023841
4.011128	1.023187
4.124125	1.022502
4.240305	1.021784
4.359759	1.021033
4.482577	1.020247
4.608856	1.019425
4.738692	1.018564
4.872185	1.017664
5.009439	1.016722
5.150560	1.015737
5.295656	1.014707
5.444840	1.013631
5.598226	1.012505
5.755934	1.011330
5.918084	1.010102
6.084802	1.008819
6.256216	1.007479
6.432460	1.006081
6.613668	1.004621
6.799982	1.003098
6.991544	1.001508
7.188502	0.999850
7.391009	0.998121
7.599221	0.996318
7.813298	0.994439
8.033406	0.992480
8.259715	0.990439
8.492399	0.988314
8.731638	0.986100
8.977616	0.983796
9.230524	0.981397
9.490557	0.978901
9.757915	0.976305
10.032805	0.973605
10.315438	0.970797
10.606034	0.967879
10.904816	0.964847
11.212015	0.961698
11.527868	0.958427
11.852619	0.955031
12.186519	0.951507
12.529825	0.947851
12.882802	0.944059
13.245723	0.940128
13.618867	0.936053
14.002524	0.931831
14.396988	0.927458
14.802565	0.922930
15.219567	0.918244
15.648317	0.913396
16.089145	0.908382
16.542392	0.903198
17.008406	0.897842
17.487549	0.892308
17.980190	0.886595
18.486709	0.880698
19.007498	0.874615
19.542957	0.868342
20.093501	0.861877
20.659554	0.855215
21.241553	0.848356
21.839948	0.841296
22.455200	0.834034
23.087784	0.826566
23.738189	0.818892
24.406916	0.811009
25.094482	0.802918
25.801418	0.794616
26.528268	0.786103
27.275595	0.777380
28.043974	0.768445
28.834000	0.759300
29.646281	0.749946
30.481445	0.740385
31.340136	0.730617
32.223018	0.720645
33.130771	0.710473
34.064096	0.700104
35.023714	0.689541
36.010365	0.678789
37.024811	0.667853
38.067836	0.656738
39.140243	0.645451
40.242861	0.633998
41.376540	0.622387
42.542157	0.610626
43.740610	0.598723
44.972824	0.586687
46.239752	0.574528
47.542369	0.562256
48.881683	0.549882
50.258727	0.537418
51.674563	0.524875
