# Velocity	Xi_G_fit
0.000000	1.490120
1.000000	1.488711
1.028171	1.488673
1.057136	1.488633
1.086916	1.488592
1.117535	1.488550
1.149018	1.488505
1.181386	1.488459
1.214667	1.488409
1.248886	1.488357
1.284068	1.488302
1.320241	1.488243
1.357434	1.488181
1.395674	1.488116
1.434991	1.488047
1.475416	1.487975
1.516980	1.487898
1.559715	1.487818
1.603654	1.487734
1.648830	1.487645
1.695279	1.487551
1.743037	1.487453
1.792140	1.487349
1.842626	1.487240
1.894535	1.487124
1.947906	1.487003
2.002780	1.486875
2.059200	1.486741
2.117210	1.486599
2.176854	1.486450
2.238178	1.486293
2.301229	1.486127
2.366057	1.485953
2.432711	1.485770
2.501243	1.485577
2.571705	1.485375
2.644153	1.485161
2.718641	1.484937
2.795228	1.484700
2.873972	1.484452
2.954934	1.484190
3.038178	1.483915
3.123766	1.483626
3.211766	1.483322
3.302244	1.483002
3.395271	1.482666
3.490920	1.482312
3.589262	1.481941
3.690375	1.481550
3.794336	1.481140
3.901226	1.480708
4.011128	1.480255
4.124125	1.479778
4.240305	1.479278
4.359759	1.478752
4.482577	1.478199
4.608856	1.477619
4.738692	1.477010
4.872185	1.476370
5.009439	1.475698
5.150560	1.474992
5.295656	1.474251
5.444840	1.473474
5.598226	1.472657
5.755934	1.471801
5.918084	1.470902
6.084802	1.469958
6.256216	1.468969
6.432460	1.467931
6.613668	1.466842
6.799982	1.465701
6.991544	1.464504
7.188502	1.463249
7.391009	1.461933
7.599221	1.460555
7.813298	1.459110
8.033406	1.457596
8.259715	1.456011
8.492399	1.454350
8.731638	1.452612
8.977616	1.450791
9.230524	1.448886
9.490557	1.446892
9.757915	1.444805
10.032805	1.442623
10.315438	1.440340
10.606034	1.437953
10.904816	1.435458
11.212015	1.432850
11.527868	1.430125
11.852619	1.427279
12.186519	1.424306
12.529825	1.421202
12.882802	1.417962
13.245723	1.414581
13.618867	1.411054
14.002524	1.407375
14.396988	1.403539
14.802565	1.399541
15.219567	1.395374
15.648317	1.391034
16.089145	1.386514
16.542392	1.381809
17.008406	1.376912
17.487549	1.371817
17.980190	1.366518
18.486709	1.361010
19.007498	1.355284
19.542957	1.349337
20.093501	1.343160
20.659554	1.336748
21.241553	1.330094
21.839948	1.323193
22.455200	1.316037
23.087784	1.308621
23.738189	1.300939
24.406916	1.292985
25.094482	1.284753
25.801418	1.276237
26.528268	1.267433
27.275595	1.258335
28.043974	1.248938
28.834000	1.239237
29.646281	1.229228
30.481445	1.218908
31.340136	1.208273
32.223018	1.197320
33.130771	1.186047
34.064096	1.174453
35.023714	1.162537
36.010365	1.150300
37.024811	1.137742
38.067836	1.124867
39.140243	1.111676
40.242861	1.098175
41.376540	1.084366
42.542157	1.070255
43.740610	1.055846
44.972824	1.041145
46.239752	1.026158
47.542369	1.010891
48.881683	0.995351
50.258727	0.979549
51.674563	0.963493
53.130284	0.947195
54.627015	0.930668
56.165910	0.913928
57.748157	0.896989
59.374978	0.879866
61.047627	0.862578
62.767397	0.845144
64.535614	0.827581
66.353644	0.809907
68.222889	0.792143
70.144793	0.774310
72.120838	0.756426
74.152551	0.738513
76.241499	0.720592
78.389295	0.702685
80.597596	0.684811
82.868107	0.666992
85.202580	0.649250
87.602818	0.631604
90.070672	0.614075
92.608049	0.596682
95.216906	0.579444
97.899256	0.562380
100.657172	0.545507
103.492780	0.528840
106.408270	0.512395
109.405892	0.496187
112.487960	0.480228
115.656853	0.464528
118.915017	0.449099
122.264966	0.433952
125.709286	0.419092
129.250636	0.404525
132.891750	0.390258
136.635437	0.376298
140.484587	0.362645
144.442171	0.349301
148.511245	0.336270
152.694948	0.323553
156.996510	0.311148
161.419251	0.299054
165.966585	0.287273
170.642021	0.275802
175.449169	0.264637
180.391739	0.253775
